id,title,scope,milestone,priority,size,owner_role,depends_on,acceptance_criteria,body_path
RB-012,[RB-012] Implement complete Touch shot controls,mvp,M1,P0,S,Gameplay/UI,RB-007; RB-008; RB-011,Touch can complete the graybox hole with mic permission denied. | Same input value yields the shared impulse with no bonus/penalty. | Shoot is unambiguous and never fires from slider release alone.,tasks/issues/RB-012.md
RB-013,"[RB-013] Implement Ready, Follow, and Overview cameras",mvp,M1,P1,M,Gameplay,RB-009; RB-010; RB-011,Ball and target remain clear of HUD in reference sizes. | Overview cannot be used to exploit unpaused hazard timing. | Falling camera does not dive into the void.,tasks/issues/RB-013.md
RB-014,"[RB-014] Implement support, rest detection, and safe anchors",mvp,M1,P0,M,Gameplay,RB-009; RB-010,A midair apex or slowly sliding slope does not become Ready. | Ball can settle reliably on intended turf. | Unsafe/blocked anchors fall back to an authored checkpoint.,tasks/issues/RB-014.md
RB-015,[RB-015] Implement out-of-bounds and stuck recovery,mvp,M1,P0,M,Gameplay,RB-008; RB-014,One fall adds exactly one penalty in addition to the committed shot. | Repeated trigger events cannot create repeated penalties. | Blocked safe anchor uses fallback; confirmed recovery does not silently erase score.,tasks/issues/RB-015.md
RB-016,[RB-016] Implement cup capture and completion ownership,mvp,M1,P0,M,Gameplay,RB-008; RB-009; RB-010,"Slow valid entry completes once. | High flyover, fast pass, and underside entry do not win. | Animation signals cannot duplicate a result.",tasks/issues/RB-016.md
RB-017,"[RB-017] Implement stars, attempt limits, and unlock rules",mvp,M1,P0,S,Gameplay,RB-007; RB-008,Par/par+1/par+2 produce 3/2/1 stars for valid completion. | Eleven strokes plus shot plus fall resolves thirteen and fails. | One-star CC06 unlocks PP01 and Panda.,tasks/issues/RB-017.md
RB-018,[RB-018] Build shared Godot UI theme and safe-area shell,mvp,M1,P1,M,UI,RB-006,No full-screen screenshot is used as interactive UI. | Targets meet the proposed logical size and text is not baked into art. | Safe-area tests pass at narrow/tall/notched sizes.,tasks/issues/RB-018.md
RB-019,[RB-019] Implement mode choice and contextual permission UX,mvp,M1,P0,M,Audio/UI,RB-005; RB-018,Fresh boot and Touch flow do not prompt for microphone. | Denied permission still allows all gameplay. | Permission result is not confused with a synchronous return value.,tasks/issues/RB-019.md
RB-020,[RB-020] Implement bounded VoiceInputService and silent monitoring,mvp,M1,P0,M,Audio,RB-005; RB-007,No microphone sound is audible through output. | Old frames cannot power a new capture session. | No file/network/log path receives PCM.,tasks/issues/RB-020.md
RB-021,[RB-021] Implement room/soft/strong calibration,mvp,M1,P0,M,Audio,RB-019; RB-020,"Too-noisy or too-small range shows recovery/Touch, not forced louder prompts. | Soft and strong can be achieved comfortably on test devices. | No hardware identifier or audio recording is stored.",tasks/issues/RB-021.md
RB-022,[RB-022] Implement preview power and stable release selection,mvp,M1,P0,M,Audio/Gameplay,RB-007; RB-020; RB-021,Preview-to-command difference is <=0.01 for accepted releases. | A single transient/no-signal hold cannot launch. | Frame-jitter and stale-buffer fixtures pass.,tasks/issues/RB-022.md
RB-023,[RB-023] Connect hold/release/cancel voice gestures,mvp,M1,P0,M,Gameplay/UI,RB-008; RB-011; RB-019; RB-022,One valid release adds one stroke and impulse. | Cancel and >3 second hold never auto-fire. | Secondary touches and UI navigation cannot create unintended shots.,tasks/issues/RB-023.md
RB-024,"[RB-024] Handle pause, background, route changes, and scene disposal",mvp,M1,P0,M,Audio/Platform,RB-008; RB-020; RB-023,Privacy indicator and capture ownership tests pass on target devices. | Returning during a prior hold cannot launch a shot. | Thirty game entry/exit cycles leave one live session at most.,tasks/issues/RB-024.md
RB-025,[RB-025] Implement game audio ducking and nonverbal feedback,mvp,M1,P1,M,Audio,RB-020; RB-023,The game cannot power itself from its own UI/mascot sound in normal tests. | Muted players can complete using visual cues. | All audio has recorded provenance and no user voice clips.,tasks/issues/RB-025.md
RB-026,[RB-026] Pass one-hole end-to-end playable-loop gate,mvp,M1,P0,M,QA/Gameplay,RB-012; RB-013; RB-015; RB-016; RB-017; RB-023; RB-024; RB-045,"A denied-mic install still completes and saves the hole. | Voice path shows correct preview/stroke/cancel behavior. | No critical physics, capture-release, or progress-loss defect remains for the slice.",tasks/issues/RB-026.md
RB-027,[RB-027] Create lion mascot production asset and expressions,mvp,M2,P1,M,Art,RB-003; RB-006,"Lion reads clearly at gameplay size. | Collider, mass, and shot tuning are unchanged by the art. | Asset source, license/provenance, and triangle/material counts are recorded.",tasks/issues/RB-027.md
RB-028,[RB-028] Create modular course kit and collision wrappers,mvp,M2,P1,L,Art/Gameplay,RB-003; RB-009,Module seams do not trap or bounce the ball unexpectedly. | Reimports preserve wrapper interactions. | Budget and provenance inventory covers all modules.,tasks/issues/RB-028.md
RB-029,"[RB-029] Establish mobile lighting, materials, and quality tiers",mvp,M2,P1,M,Rendering/Art,RB-003; RB-027; RB-028,"No quality tier changes physics, collider, tick rate, or scoring. | Representative scene meets selected target budgets or records a blocker. | Low quality preserves cup/gate/portal clarity.",tasks/issues/RB-029.md
RB-030,[RB-030] Implement Home and loading/error navigation,mvp,M2,P1,M,UI,RB-018; RB-026; RB-027,Home does not prompt for mic or show unimplemented shop/daily controls. | Loading errors return safely without duplicate sessions. | Buttons are accessible real Controls with pressed/disabled states.,tasks/issues/RB-030.md
RB-031,[RB-031] Implement two-world twelve-hole selection,mvp,M2,P1,M,UI,RB-018; RB-017; RB-045; RB-046,All unlock states match domain tests. | One-star completion advances progression. | No shop/hearts/lava-world scope appears as an active feature.,tasks/issues/RB-031.md
RB-032,[RB-032] Polish calibration UI and recovery states,mvp,M2,P1,M,UI/Audio,RB-018; RB-021; RB-023,No automatic capture on mere screen navigation. | Denied/no-input/noisy/route-changed states have a recovery path. | No SPL claims or pressure to scream.,tasks/issues/RB-032.md
RB-033,[RB-033] Polish Ready/Capturing/Rolling gameplay HUD,mvp,M2,P1,M,UI,RB-018; RB-012; RB-013; RB-023,Cup/ball/landing area are not hidden by decorative logo or HUD. | Rolling state does not display misleading mic activity. | Input fallback and Overview are discoverable.,tasks/issues/RB-033.md
RB-034,"[RB-034] Implement Pause, Settings, and Android Back behavior",mvp,M2,P1,M,UI/Platform,RB-018; RB-024; RB-045,Resume never starts mic automatically. | Back dismisses sheets before exiting gameplay. | Volume/haptics/reduced-motion/quality/input settings persist.,tasks/issues/RB-034.md
RB-035,[RB-035] Implement truthful results and save-warning UI,mvp,M2,P1,M,UI,RB-018; RB-016; RB-017; RB-045,"No whisper %, accuracy %, gems, or time-based rank is shown. | Final hole routes to map/completion instead of a missing next scene. | Save failures are visible and previous durable progress stays safe.",tasks/issues/RB-035.md
RB-036,[RB-036] Approve one polished visual and interaction slice,mvp,M2,P0,M,Product/QA,RB-026; RB-027; RB-028; RB-029; RB-030; RB-032; RB-033; RB-034; RB-035,"Approval includes real-device gameplay video and frame timings. | Buttons, ball, input meter, and camera are functional rather than image overlays. | Major control/readability issues are resolved or block content scaling.",tasks/issues/RB-036.md
RB-037,[RB-037] Implement moving gate obstacle,mvp,M3,P1,M,Gameplay,RB-009; RB-010; RB-024,Pause/resume does not teleport the obstacle. | Low-speed contact and fast impact are stable. | Gate can be reused by multiple holes without copied logic.,tasks/issues/RB-037.md
RB-038,[RB-038] Implement paired portals and exit validation,mvp,M3,P1,L,Gameplay,RB-009; RB-010; RB-014,One pair preserves allowed speed and maps direction as designed. | Ball cannot repeatedly teleport while inside an exit. | Invalid pair/blocked exit fails validation or safely rejects entry.,tasks/issues/RB-038.md
RB-039,[RB-039] Implement one-shot bounce pad,mvp,M3,P1,M,Gameplay,RB-009; RB-010,One eligible entry produces one impulse. | Remaining inside the trigger does not continue acceleration. | Pad effect remains readable in reduced quality/motion.,tasks/issues/RB-039.md
RB-040,[RB-040] Author and validate Cloud Cliffs holes 1–3,mvp,M3,P1,L,Level Design,RB-036; RB-028; RB-046,Each of three holes has an independent successful route record. | Primary early routes have forgiving power bands rather than single exact values. | Metadata status changes only with attached evidence.,tasks/issues/RB-040.md
RB-041,[RB-041] Author and validate Cloud Cliffs holes 4–6,mvp,M3,P1,L,Level Design,RB-036; RB-037; RB-040; RB-046,All three holes are independently completed in the pinned build. | No inevitable gate trap or inaccessible reset location. | World completion unlock behavior matches PRD.,tasks/issues/RB-041.md
RB-042,[RB-042] Author and validate Portal Peaks holes 1–3,mvp,M3,P1,L,Level Design,RB-036; RB-038; RB-039; RB-041; RB-046,Each hole has its own teaching focus and completed route. | No invisible teleport destination or mandatory exact-volume trick. | Safe recovery works after misses.,tasks/issues/RB-042.md
RB-043,[RB-043] Author and validate Portal Peaks holes 4–6,mvp,M3,P1,L,Level Design,RB-037; RB-038; RB-039; RB-042; RB-046,All final holes are independently solved on the pinned build. | PP06 completion ends cleanly and equips only earned cosmetics. | No unavoidable precision beyond tested intended difficulty.,tasks/issues/RB-043.md
RB-044,[RB-044] Implement three cosmetic balls and collection screen,mvp,M3,P1,M,Art/UI,RB-027; RB-017; RB-018; RB-045,"All cosmetics use identical physics resources/collider settings. | Locked preview cannot be equipped. | No rarity, purchase, currency, or random unlock subsystem is required.",tasks/issues/RB-044.md
RB-045,[RB-045] Implement validated local progress/settings and recovery,mvp,M1,P0,L,Systems,RB-007; RB-017,Worse replay/duplicate completion never erases a best result. | Truncated/future-schema/invalid values fail safely. | Failure at each write step preserves a valid prior durable copy where available.,tasks/issues/RB-045.md
RB-046,[RB-046] Implement content catalog and scene validators,mvp,M1,P1,M,Tools,RB-009; RB-007,Design-only catalog cannot be mislabeled production-validated. | Missing scene or marker fails the shipping build gate. | Every error reports level ID and actionable detail.,tasks/issues/RB-046.md
RB-047,[RB-047] Run all-hole playtest and balance review,mvp,M3,P0,L,QA/Level Design,RB-040; RB-041; RB-042; RB-043; RB-044; RB-045,"Each hole has independent completion evidence and approved par. | Full Touch run earns the same rewards as Voice. | No critical unfair trap, hidden target, or unexplained failure remains.",tasks/issues/RB-047.md
RB-048,[RB-048] Conditional: add narrowly scoped Kotlin input/platform adapter,conditional,Conditional,P2,L,Audio/Platform,RB-005,"Absent plugin preserves functional Touch/default supported path. | Two-device tests prove the original gap is fixed with no second input owner. | No gameplay, UI, score, or cloud audio service is moved into Kotlin.",tasks/issues/RB-048.md
RB-049,[RB-049] Externalize strings and prepare English/Indonesian localization,mvp,M3,P1,M,UI/Content,RB-030; RB-031; RB-032; RB-033; RB-034; RB-035; RB-044,No important instruction exists only in a texture. | Missing keys are detected automatically. | No clipping or mixed-language accidental fallback in selected locale.,tasks/issues/RB-049.md
RB-050,"[RB-050] Verify accessibility, reduced motion, and equal Touch path",mvp,M4,P0,M,QA/UI,RB-047; RB-049; RB-034,All content/rewards accessible without microphone. | Color/audio/haptics are not the sole carrier of critical instructions. | No unsupported blanket accessibility compliance claim is made.,tasks/issues/RB-050.md
RB-051,[RB-051] Build automated domain/state/scene regression suite,mvp,M4,P0,L,QA/Engineering,RB-007; RB-008; RB-020; RB-022; RB-045; RB-037; RB-038; RB-039; RB-046,Tests fail intentionally when a contract is broken. | Synthetic success is not reported as a passed hardware/GPU test. | CI commands/toolchain are pinned and documented.,tasks/issues/RB-051.md
RB-052,[RB-052] Profile and optimize sustained mobile performance,mvp,M4,P0,L,Rendering/QA,RB-029; RB-047; RB-051; RB-002,"Selected tiers meet agreed p95/p99/memory/thermal gates or block release. | Repeated levels do not show unbounded resource growth. | Optimizations do not change collision, tick rate, power, or score.",tasks/issues/RB-052.md
RB-053,"[RB-053] Audit privacy, permissions, storage, and dependency provenance",mvp,M4,P0,M,QA/Platform,RB-024; RB-045; RB-025; RB-051,No PCM/transcript/audio upload or production amplitude history. | Hardware capture lifetime matches honest UI copy. | Asset/dependency licenses are recorded and no signing secret is committed.,tasks/issues/RB-053.md
RB-054,[RB-054] Run mobile interruption and navigation stability suite,mvp,M4,P0,L,QA,RB-047; RB-034; RB-051; RB-053,"No critical crash, accidental shot, lingering capture, or progress-loss defect. | Background never advances gate phase or spends a pending shot. | Recovery copy and actions work in the release-like build.",tasks/issues/RB-054.md
RB-055,[RB-055] Create reproducible signed Android release candidate,mvp,M4,P0,M,Release Engineering,RB-052; RB-053; RB-054; RB-050,"No production secrets are in Git or the handoff package. | Release build, not only debug, passes critical smoke tests. | Artifact version and source commit are traceable.",tasks/issues/RB-055.md
RB-056,"[RB-056] Prepare store materials, policy review, and asset/name clearance",mvp,M4,P1,M,Publisher/Product,RB-036; RB-053,Store claims match implemented offline/voice behavior. | Publisher has recorded audience/name/license decisions. | No compliance/approval guarantee is asserted from this checklist.,tasks/issues/RB-056.md
RB-057,[RB-057] Approve MVP release gate and hand over operations,mvp,M4,P0,S,Product/QA,RB-055; RB-056; RB-047; RB-050; RB-051,No unresolved critical/major issue without explicit release decision. | Release source/artifact/tests are traceable. | MVP scope is completed without conditional/later work silently claimed.,tasks/issues/RB-057.md
RB-058,[RB-058] Later: evaluate standalone iOS export and audio lifecycle,later,Later,P2,L,Platform,RB-057,No claim that Kotlin solves iOS integration. | Physical iOS capture/lifecycle evidence precedes feature parity claims. | New platform work has approved scope.,tasks/issues/RB-058.md
RB-059,[RB-059] Later: evaluate wind/lava worlds and daily challenges,later,Later,P2,L,Product/Gameplay,RB-057,Separate approved PRD defines new content and regression impact. | New mechanic does not compromise comfortable Voice/Touch parity. | No new world is marketed before actual validation.,tasks/issues/RB-059.md
RB-060,[RB-060] Later: review online analytics or monetization as separate scope,later,Later,P2,M,Product/Platform,RB-057,No network/account/ad/payment feature is added without an approved review. | Touch/Voice parity is preserved. | Data claims and dependencies are audited before shipping.,tasks/issues/RB-060.md
